Date,Year,Month_Num,Month_Name,Day_of_Week,Week_Number,Quarter,Is_Month_Start,Is_Month_End,Open,High,Low,Close,Shares_Traded,Turnover_Cr,Direction,Up_Day,Daily_Return_Pct,Change_from_Prev_Close,Cum_Return_Pct,Daily_Range,Daily_Range_Pct,Open_Close_Spread,Open_Close_Spread_Pct,Gap_Up_Down,Gap_Pct,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_10,EMA_20,EMA_50,Volatility_5D,Volatility_10D,Volatility_20D,ATR_14,RSI_14,RSI_Signal,MACD,MACD_Signal,MACD_Histogram,MACD_Crossover,BB_Upper,BB_Mid,BB_Lower,BB_Width,BB_Position,Drawdown_Pct,Rolling_52W_High,Rolling_52W_Low,Pct_From_52W_High,Pct_From_52W_Low,Volume_MA_20,Volume_Ratio,High_Volume_Day,Turnover_MA_20,SMA_20_above_50,Golden_Cross,Death_Cross,Trend
2025-06-04,2025,6,Jun-2025,Wednesday,23,2,0,0,24560.45,24644.25,24530.45,24620.2,280862575,21907.07,Down,0,,,0.0,113.8,0.4633,59.75,0.2433,,,,,,,24620.2,24620.2,24620.2,24620.2,,,,,,,0.0,0.0,0.0,None,,,,,,0.0,24644.25,24530.45,-0.1,0.37,,,0,,0.0,0,0,
2025-06-05,2025,6,Jun-2025,Thursday,23,2,0,0,24691.2,24899.85,24613.1,24750.9,388405978,30186.46,Up,1,0.5309,130.7,0.5309,286.75,1.1613,59.7,0.2418,71.0,0.2884,,,,,24663.77,24643.96,24632.65,24625.33,,,,,,,10.43,2.09,8.34,Bullish,,,,,,0.0,24899.85,24530.45,-0.6,0.9,,,0,,0.0,0,0,
2025-06-06,2025,6,Jun-2025,Friday,23,2,0,0,24748.7,25029.5,24671.45,25003.05,335581057,30041.71,Up,1,1.0188,252.15,1.555,358.05,1.4467,254.35,1.0277,-2.2,-0.0089,,,,,24776.86,24709.25,24667.92,24640.14,,,,,,,38.59,9.39,29.2,None,,,,,,0.0,25029.5,24530.45,-0.11,1.93,,,0,,0.0,0,0,
2025-06-09,2025,6,Jun-2025,Monday,24,2,0,0,25160.1,25160.1,25077.15,25103.2,279219989,25606.21,Up,1,0.4006,100.15,1.9618,82.95,0.3297,-56.9,-0.2262,157.05,0.6281,,,,,24885.64,24780.88,24709.38,24658.3,,,,,,,68.21,21.15,47.06,None,,,,,,0.0,25160.1,24530.45,-0.23,2.33,,,0,,0.0,0,0,
2025-06-10,2025,6,Jun-2025,Tuesday,24,2,0,0,25196.05,25199.3,25055.45,25104.25,307323471,28813.93,Up,1,0.0042,1.05,1.9661,143.85,0.5709,-91.8,-0.3643,92.85,0.3699,24916.32,,,,24958.51,24839.67,24746.99,24675.79,,,,,,,90.72,35.07,55.65,None,,,,,,0.0,25199.3,24530.45,-0.38,2.34,,,0,,0.0,0,0,
2025-06-11,2025,6,Jun-2025,Wednesday,24,2,0,0,25134.15,25222.4,25081.3,25141.4,301245273,25871.18,Up,1,0.148,37.15,2.117,141.1,0.5614,7.25,0.0288,29.9,0.1191,25020.56,,,,25019.47,24894.53,24784.55,24694.05,0.3931,,,,,,110.28,50.11,60.17,None,,,,,,0.0,25222.4,24530.45,-0.32,2.49,,,0,,0.0,0,0,
2025-06-12,2025,6,Jun-2025,Thursday,24,2,0,0,25164.45,25196.2,24825.9,24888.2,328310748,29573.27,Down,0,-1.0071,-253.2,1.0885,370.3,1.4715,-276.25,-1.0978,23.05,0.0917,25048.02,,,,24975.72,24893.38,24794.42,24701.66,0.7367,,,,,,104.16,60.92,43.24,None,,,,,,-1.0071,25222.4,24530.45,-1.33,1.46,,,0,,0.0,0,0,
2025-06-13,2025,6,Jun-2025,Friday,24,2,0,0,24473.0,24754.35,24473.0,24718.6,318711364,24838.56,Down,0,-0.6814,-169.6,0.3997,281.35,1.1496,245.6,1.0036,-415.2,-1.6683,24991.13,,,,24890.01,24861.6,24787.2,24702.32,0.5922,,,,,,84.64,65.66,18.98,None,,,,,,-1.6817,25222.4,24473.0,-2.0,1.0,,,0,,0.0,0,0,
2025-06-16,2025,6,Jun-2025,Monday,25,2,0,0,24732.35,24967.1,24703.6,24946.5,305813047,23857.15,Up,1,0.922,227.9,1.3253,263.5,1.0654,214.15,0.8659,13.75,0.0556,24959.79,,,,24908.84,24877.04,24802.37,24711.9,0.7542,,,,,,86.56,69.84,16.72,None,,,,,,-0.7752,25222.4,24473.0,-1.09,1.93,,,0,,0.0,0,0,
2025-06-17,2025,6,Jun-2025,Tuesday,25,2,0,0,24977.85,24982.05,24813.7,24853.4,242415740,21818.05,Down,0,-0.3732,-93.1,0.9472,168.35,0.674,-124.45,-0.4982,31.35,0.1257,24909.62,24912.97,,,24890.36,24872.74,24807.23,24717.45,0.7572,,,,,,79.66,71.81,7.85,None,,,,,,-1.1455,25222.4,24473.0,-1.46,1.55,,,0,,0.0,0,0,
